time	, clk	 rst	, X	, Y	, Z	 
VCD info: dumpfile iterative_karatsuba.vcd opened for output.
0	 1	   0	              x	               x	                         x	   
5	 0	   1	              x	               x	                         x	   
10	 1	   1	              x	               x	                         0	   
15	 0	   0	              x	               x	                         0	   
20	 1	   0	              x	               x	                         x	   
25	 0	   0	     4294967295	             255	                         x	   
30	 1	   0	     4294967295	             255	                         x	   
35	 0	   0	     4294967295	             255	                         x	   
40	 1	   0	     4294967295	             255	                         x	   
45	 0	   0	     4294967295	             255	                         x	   
50	 1	   0	     4294967295	             255	                         x	   
55	 0	   0	     4294967295	             255	                         x	   
60	 1	   0	     4294967295	             255	                         x	   
65	 0	   0	     4294967295	             255	                         x	   
70	 1	   0	     4294967295	             255	                         x	   
BIG MULT:                    x
75	 0	   0	     4294967295	             255	                         x	   
80	 1	   0	     4294967295	             255	                         x	   
85	 0	   0	             10	              12	                         x	   
90	 1	   0	             10	              12	                         x	   
95	 0	   0	             10	              12	                         x	   
100	 1	   0	             10	              12	                       120	   
105	 0	   0	             10	              12	                       120	   
110	 1	   0	             10	              12	                       120	   
115	 0	   0	             10	              12	                       120	   
120	 1	   0	             10	              12	                       120	   
125	 0	   0	             10	              12	                       120	   
130	 1	   0	             10	              12	                       120	   
135	 0	   1	             10	              12	                       120	   
140	 1	   0	              0	              12	                         0	   
145	 0	   0	              0	              12	                         0	   
150	 1	   0	              0	              12	                       120	   
155	 0	   0	              0	              12	                       120	   
160	 1	   0	              0	              12	                         0	   
165	 0	   0	              0	              12	                         0	   
170	 1	   0	              0	              12	                         0	   
175	 0	   0	              0	              12	                         0	   
180	 1	   0	              0	              12	                         0	   
185	 0	   0	              0	              12	                         0	   
190	 1	   0	              0	              12	                         0	   
195	 0	   0	              0	              12	                         0	   
200	 1	   0	              0	              12	                         0	   
205	 0	   0	              0	              12	                         0	   
210	 1	   0	              0	              12	                     65536	   
215	 0	   0	              0	              12	                     65536	   
220	 1	   0	              0	              12	                     65536	   
225	 0	   0	              0	              12	                     65536	   
230	 1	   0	              0	              12	                     65536	   
235	 0	   0	              0	              12	                     65536	   
240	 1	   1	              0	              12	                         0	   
245	 0	   1	              0	              12	                         0	   
250	 1	   0	              0	              12	                    131072	   
255	 0	   0	              0	              12	                    131072	   
260	 1	   0	              0	              12	                         0	   
265	 0	   0	              0	              12	                         0	   
270	 1	   0	              0	              12	                         0	   
275	 0	   0	              0	              12	                         0	   
280	 1	   0	              0	              12	                         0	   
285	 0	   0	              0	              12	                         0	   
290	 1	   0	              0	              12	                         0	   
295	 0	   0	              0	              12	                         0	   
300	 1	   0	              0	              12	                         0	   
305	 0	   0	              0	              12	                         0	   
310	 1	   0	              0	              12	                     65536	   
315	 0	   0	              0	              12	                     65536	   
320	 1	   0	              0	              12	                     65536	   
325	 0	   0	              0	              12	                     65536	   
330	 1	   0	              0	              12	                     65536	   
335	 0	   0	              0	              12	                     65536	   
340	 1	   0	              0	              12	                     65536	   
345	 0	   0	              0	              12	                     65536	   
350	 1	   1	              0	              12	                         0	   
355	 0	   1	              0	              12	                         0	   
360	 1	   0	              0	              12	                    131072	   
365	 0	   0	              0	              12	                    131072	   
370	 1	   0	              0	              12	                         0	   
375	 0	   0	              0	              12	                         0	   
380	 1	   0	              0	              12	                         0	   
385	 0	   0	              0	              12	                         0	   
390	 1	   0	              0	              12	                         0	   
395	 0	   0	              0	              12	                         0	   
400	 1	   0	              0	              12	                         0	   
405	 0	   0	              0	              12	                         0	   
410	 1	   0	              0	              12	                         0	   
415	 0	   0	              0	              12	                         0	   
420	 1	   0	              0	              12	                     65536	   
425	 0	   0	              0	              12	                     65536	   
430	 1	   0	              0	              12	                     65536	   
435	 0	   0	              0	              12	                     65536	   
440	 1	   0	              0	              12	                     65536	   
445	 0	   0	              0	              12	                     65536	   
450	 1	   0	              0	              12	                     65536	   
455	 0	   0	              0	              12	                     65536	   
460	 1	   1	              0	              12	                         0	   
465	 0	   1	              0	              12	                         0	   
470	 1	   0	              0	              12	                    131072	   
475	 0	   0	              0	              12	                    131072	   
480	 1	   0	              0	              12	                         0	   
485	 0	   0	              0	              12	                         0	   
490	 1	   0	              0	              12	                         0	   
495	 0	   0	              0	              12	                         0	   
500	 1	   0	              0	              12	                         0	   
505	 0	   0	              0	              12	                         0	   
510	 1	   0	              0	              12	                         0	   
515	 0	   0	              0	              12	                         0	   
520	 1	   0	              0	              12	                         0	   
525	 0	   0	              0	              12	                         0	   
530	 1	   0	              0	              12	                     65536	   
535	 0	   0	              0	              12	                     65536	   
540	 1	   0	              0	              12	                     65536	   
545	 0	   0	              0	              12	                     65536	   
550	 1	   0	              0	              12	                     65536	   
555	 0	   0	              0	              12	                     65536	   
560	 1	   0	              0	              12	                     65536	   
565	 0	   0	              0	              12	                     65536	   
570	 1	   1	              0	              12	                         0	   
575	 0	   1	              0	              12	                         0	   
580	 1	   0	              0	              12	                    131072	   
585	 0	   0	              0	              12	                    131072	   
590	 1	   0	              0	              12	                         0	   
595	 0	   0	              0	              12	                         0	   
600	 1	   0	              0	              12	                         0	   
605	 0	   0	              0	              12	                         0	   
610	 1	   0	              0	              12	                         0	   
615	 0	   0	              0	              12	                         0	   
620	 1	   0	              0	              12	                         0	   
625	 0	   0	              0	              12	                         0	   
630	 1	   0	              0	              12	                         0	   
635	 0	   0	              0	              12	                         0	   
