time	, clk	 rst	, X	, Y	, Z	 
VCD info: dumpfile combinational_karatsuba.vcd opened for output.
0	 1	   0	         x	          x	               x	   
5	 0	   0	         x	          x	               x	   
10	 1	   1	         x	          x	               x	   
15	 0	   1	         x	          x	               x	   
20	 1	   0	         0	      65535	               0	   
25	 0	   0	         0	      65535	               0	   
30	 1	   0	         0	      65535	               0	   
35	 0	   0	         0	      65535	               0	   
40	 1	   0	         0	      65535	               0	   
45	 0	   0	         0	      65535	               0	   
50	 1	   0	         0	      65535	               0	   
55	 0	   0	         0	      65535	               0	   
60	 1	   0	         0	      65535	               0	   
65	 0	   0	         0	      65535	               0	   
70	 1	   0	         0	      65535	               0	   
75	 0	   0	         0	      65535	               0	   
80	 1	   0	         0	      65535	               0	   
85	 0	   0	         0	      65535	               0	   
90	 1	   0	         0	      65535	               0	   
95	 0	   0	         0	      65535	               0	   
100	 1	   0	         0	      65535	               0	   
105	 0	   0	         0	      65535	               0	   
110	 1	   0	         0	      65535	               0	   
115	 0	   0	         0	      65535	               0	   
120	 1	   0	         1	      65535	           65535	   
125	 0	   0	         1	      65535	           65535	   
130	 1	   0	         1	      65535	           65535	   
135	 0	   0	         1	      65535	           65535	   
140	 1	   0	         1	      65535	           65535	   
145	 0	   0	         1	      65535	           65535	   
150	 1	   0	         1	      65535	           65535	   
155	 0	   0	         1	      65535	           65535	   
160	 1	   0	         1	      65535	           65535	   
165	 0	   0	         1	      65535	           65535	   
170	 1	   0	         1	      65535	           65535	   
175	 0	   0	         1	      65535	           65535	   
180	 1	   0	         1	      65535	           65535	   
185	 0	   0	         1	      65535	           65535	   
190	 1	   0	         1	      65535	           65535	   
195	 0	   0	         1	      65535	           65535	   
200	 1	   0	         1	      65535	           65535	   
205	 0	   0	         1	      65535	           65535	   
210	 1	   0	         1	      65535	           65535	   
215	 0	   0	         1	      65535	           65535	   
220	 1	   0	         2	      65535	          131070	   
225	 0	   0	         2	      65535	          131070	   
230	 1	   0	         2	      65535	          131070	   
235	 0	   0	         2	      65535	          131070	   
240	 1	   0	         2	      65535	          131070	   
245	 0	   0	         2	      65535	          131070	   
250	 1	   0	         2	      65535	          131070	   
255	 0	   0	         2	      65535	          131070	   
260	 1	   0	         2	      65535	          131070	   
265	 0	   0	         2	      65535	          131070	   
270	 1	   0	         2	      65535	          131070	   
275	 0	   0	         2	      65535	          131070	   
280	 1	   0	         2	      65535	          131070	   
285	 0	   0	         2	      65535	          131070	   
290	 1	   0	         2	      65535	          131070	   
295	 0	   0	         2	      65535	          131070	   
300	 1	   0	         2	      65535	          131070	   
305	 0	   0	         2	      65535	          131070	   
310	 1	   0	         2	      65535	          131070	   
315	 0	   0	         2	      65535	          131070	   
320	 1	   0	         3	      65535	          196605	   
325	 0	   0	         3	      65535	          196605	   
330	 1	   0	         3	      65535	          196605	   
335	 0	   0	         3	      65535	          196605	   
340	 1	   0	         3	      65535	          196605	   
345	 0	   0	         3	      65535	          196605	   
350	 1	   0	         3	      65535	          196605	   
355	 0	   0	         3	      65535	          196605	   
360	 1	   0	         3	      65535	          196605	   
365	 0	   0	         3	      65535	          196605	   
370	 1	   0	         3	      65535	          196605	   
375	 0	   0	         3	      65535	          196605	   
380	 1	   0	         3	      65535	          196605	   
385	 0	   0	         3	      65535	          196605	   
390	 1	   0	         3	      65535	          196605	   
395	 0	   0	         3	      65535	          196605	   
400	 1	   0	         3	      65535	          196605	   
405	 0	   0	         3	      65535	          196605	   
410	 1	   0	         3	      65535	          196605	   
415	 0	   0	         3	      65535	          196605	   
420	 1	   0	         4	      65535	          262140	   
425	 0	   0	         4	      65535	          262140	   
430	 1	   0	         4	      65535	          262140	   
435	 0	   0	         4	      65535	          262140	   
440	 1	   0	         4	      65535	          262140	   
445	 0	   0	         4	      65535	          262140	   
450	 1	   0	         4	      65535	          262140	   
455	 0	   0	         4	      65535	          262140	   
460	 1	   0	         4	      65535	          262140	   
465	 0	   0	         4	      65535	          262140	   
470	 1	   0	         4	      65535	          262140	   
475	 0	   0	         4	      65535	          262140	   
480	 1	   0	         4	      65535	          262140	   
485	 0	   0	         4	      65535	          262140	   
490	 1	   0	         4	      65535	          262140	   
495	 0	   0	         4	      65535	          262140	   
500	 1	   0	         4	      65535	          262140	   
505	 0	   0	         4	      65535	          262140	   
