time	, clk	 rst	, X	, Y	, Z	 
VCD info: dumpfile combinational_karatsuba.vcd opened for output.
0	 1	   0	         x	          x	               X	   
5	 0	   0	         x	          x	               X	   
10	 1	   1	         x	          x	               X	   
15	 0	   1	         x	          x	               X	   
20	 1	   0	         0	      65535	               0	   
25	 0	   0	         0	      65535	               0	   
30	 1	   0	         0	      65535	               0	   
35	 0	   0	         0	      65535	               0	   
40	 1	   0	         0	      65535	               0	   
45	 0	   0	         0	      65535	               0	   
50	 1	   0	         0	      65535	               0	   
55	 0	   0	         0	      65535	               0	   
60	 1	   0	         0	      65535	               0	   
65	 0	   0	         0	      65535	               0	   
70	 1	   0	         0	      65535	               0	   
75	 0	   0	         0	      65535	               0	   
80	 1	   0	         0	      65535	               0	   
85	 0	   0	         0	      65535	               0	   
90	 1	   0	         0	      65535	               0	   
95	 0	   0	         0	      65535	               0	   
100	 1	   0	         0	      65535	               0	   
105	 0	   0	         0	      65535	               0	   
110	 1	   0	         0	      65535	               0	   
115	 0	   0	         0	      65535	               0	   
120	 1	   0	         1	      65535	           65295	   
125	 0	   0	         1	      65535	           65295	   
ERROR
tb_combinational_karatsuba.v:50: $finish called at 130000 (1ps)
130	 1	   0	         1	      65535	           65295	   
